ANALYTE_ID	DOCUMENT_NUMBER	TEST_SYSTEM_ID	ANALYTE_NAME	DATE_EFFECTIVE
11	CDC000246	5731	Galactose-1-phosphate uridyl transferase	1993-07-26
11	K100101	16412	Galactose-1-phosphate uridyl transferase	2010-06-18
11	K101392	17727	Galactose-1-phosphate uridyl transferase	2011-02-25
11	K102643	18715	Galactose-1-phosphate uridyl transferase	2011-07-25
11	K102643	18902	Galactose-1-phosphate uridyl transferase	2011-07-25
11	K950803	3303	Galactose-1-phosphate uridyl transferase	2003-04-01
11	K950803	3304	Galactose-1-phosphate uridyl transferase	2003-04-01
11	K950803	6325	Galactose-1-phosphate uridyl transferase	1995-09-29
11	K970277	1372	Galactose-1-phosphate uridyl transferase	1998-04-03
11	K970277	5123	Galactose-1-phosphate uridyl transferase	1997-12-19
11	K990827	8918	Galactose-1-phosphate uridyl transferase	1999-04-23
11	K993536	9047	Galactose-1-phosphate uridyl transferase	2000-01-18
22	CDC000090	9975	C-peptide	1993-07-26
22	CDC000091	10002	C-peptide	1993-07-26
22	CDC000141	10529	C-peptide	1993-07-26
22	CR170132	25903	C-peptide	2017-03-15
22	CR170599	15508	C-peptide	2017-11-14
22	CR170599	15690	C-peptide	2017-11-14
22	CR170599	17414	C-peptide	2017-11-14
22	CR180376	27103	C-peptide	2018-06-19
22	CR180937	25328	C-peptide	2019-01-23
22	CR190014	28560	C-peptide	2019-05-09
22	CR190160	26050	C-peptide	2019-05-14
22	CR190712	1049	C-peptide	2019-12-26
22	CR190712	12111	C-peptide	2019-12-26
22	CR190712	13024	C-peptide	2019-12-26
22	CR190712	14208	C-peptide	2019-12-26
22	CR190712	15070	C-peptide	2019-12-26
22	CR190712	15954	C-peptide	2019-12-26
22	CR190712	15955	C-peptide	2019-12-26
22	CR190712	15956	C-peptide	2019-12-26
22	CR220404	33068	C-peptide	2022-11-03
22	CR230648	34817	C-peptide	2023-10-31
22	E990027	4743	C-peptide	1999-03-26
22	K022603	148	C-peptide	2002-10-30
22	K060373	14867	C-peptide	2006-03-16
22	K943767	1095	C-peptide	1995-03-31
22	K951848	2793	C-peptide	1996-02-16
22	K951848	2794	C-peptide	1996-02-16
22	K951848	2795	C-peptide	1996-02-16
22	K970227	210	C-peptide	1997-12-12
22	K970227	13699	C-peptide	2006-12-28
22	K971103	96	C-peptide	2003-12-18
22	K971103	1178	C-peptide	2000-01-18
22	K971103	1178	C-peptide	2003-07-14
22	K971103	1179	C-peptide	1997-09-26
22	K971103	1179	C-peptide	2003-07-14
22	X040006	96	C-peptide	2004-04-29
22	X040006	97	C-peptide	2004-04-29
22	X040018	43	C-peptide	2004-08-11
22	X040018	44	C-peptide	2004-08-11
22	X040018	45	C-peptide	2004-08-11
