entity_name	entity_type	entity_id	entity_id_source	lab	agegroup	sex	units	min	max	mean	sd	q1	q2_median	q3	n
Albumin	Protein	P02768	UniProt	Albumin, Serum	20-29	Female	g/dL	2.8699999999999997	4.49	3.8511882278879446	0.3858857905677584	3.6	3.9	4.2	6354
Albumin	Protein	P02768	UniProt	Albumin, Serum	20-29	Male	g/dL	2.86	4.49	4.007062101910828	0.3320848293070235	3.8	4.1	4.3	2512
Albumin	Protein	P02768	UniProt	Albumin, Serum	30-39	Female	g/dL	2.84	4.49	3.8539752407152683	0.38111571155110296	3.6	3.9	4.2	10178
Albumin	Protein	P02768	UniProt	Albumin, Serum	30-39	Male	g/dL	2.9	4.49	3.9802809917355373	0.349474206615201	3.8	4.1	4.3	4840
Albumin	Protein	P02768	UniProt	Albumin, Serum	40-49	Female	g/dL	2.9	4.48	3.859950572728699	0.36208901636981833	3.6	3.9	4.13	12746
Albumin	Protein	P02768	UniProt	Albumin, Serum	40-49	Male	g/dL	2.8099999999999996	4.49	3.953778818443804	0.3513954375382613	3.7375000000000003	4	4.2	8328
Albumin	Protein	P02768	UniProt	Albumin, Serum	50-59	Female	g/dL	2.9	4.49	3.8851231607629426	0.3578083223682478	3.7	3.9	4.2	18350
Albumin	Protein	P02768	UniProt	Albumin, Serum	50-59	Male	g/dL	2.8699999999999997	4.49	3.9031642771003616	0.36020951014955294	3.7	4	4.2	14926
Albumin	Protein	P02768	UniProt	Albumin, Serum	60-69	Female	g/dL	2.8099999999999996	4.49	3.8391271521959305	0.37421018221889213	3.6	3.9	4.1	21722
Albumin	Protein	P02768	UniProt	Albumin, Serum	60-69	Male	g/dL	2.82	4.49	3.846179341301738	0.379998745044884	3.6	3.9	4.114999999999999	19159
Albumin	Protein	P02768	UniProt	Albumin, Serum	70-79	Female	g/dL	2.8099999999999996	4.49	3.808788330599871	0.38475433407495807	3.5	3.8	4.1	20121
Albumin	Protein	P02768	UniProt	Albumin, Serum	70-79	Male	g/dL	2.82	4.49	3.796329338659565	0.3814995115658529	3.5	3.8	4.1	15771
Albumin	Protein	P02768	UniProt	Albumin, Serum	80-89	Female	g/dL	2.8499999999999996	4.49	3.739636827918854	0.39694993595347566	3.5	3.8	4.1	14098
Albumin	Protein	P02768	UniProt	Albumin, Serum	80-89	Male	g/dL	2.8899999999999997	4.470000000000001	3.714468860424028	0.39008128182398943	3.4	3.7	4	9056
Albumin	Protein	P02768	UniProt	Albumin, Serum	90+	Female	g/dL	2.82	4.49	3.6100541142766196	0.4066884656035158	3.3	3.6	3.9	6283
Albumin	Protein	P02768	UniProt	Albumin, Serum	90+	Male	g/dL	2.9	4.4	3.4900291005291004	0.3758628062381832	3.2	3.4	3.7	3780
