entity_name	entity_type	entity_id	entity_id_source	lab	agegroup	sex	units	min	max	mean	sd	q1	q2_median	q3	n
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	20-29	Female	mg/dL	32	212.9	104.9440170940171	51.00191184738812	57.5	96.4	147	585
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	20-29	Male	mg/dL	32.3	211	117.63014492753624	52.41907989218614	72	107	164	69
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	30-39	Female	mg/dL	32	212	102.40117391304348	46.79789659702506	64.9925	97	135.775	690
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	30-39	Male	mg/dL	34.57	211.9	123.20645714285715	47.720127262997906	86.65	121	162.45	175
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	40-49	Female	mg/dL	32	211	113.4587104622871	49.478411962029014	74.9	106.9	155	411
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	40-49	Male	mg/dL	32.3	212.4	116.0628640776699	48.23425835318424	76.75	111.6	153.77499999999998	412
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	50-59	Female	mg/dL	31.9	212	105.23736351531292	49.16929217821167	63.7	94.7	142	751
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	50-59	Male	mg/dL	32	212.6	116.20753712871287	47.21263792854729	78.57499999999999	113.80000000000001	152.225	808
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	60-69	Female	mg/dL	32	212.4	104.34164739884393	47.73732706243117	63.15	98.95	139.75	1038
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	60-69	Male	mg/dL	32.2	212.3	115.002458374143	46.80262003653006	76.5	114	150	1021
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	70-79	Female	mg/dL	32	210	99.18849168646081	44.382274916179824	62.075	91.35	131	842
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	70-79	Male	mg/dL	31.9	212	109.40427624309392	46.14161955844964	69.8	106	145	905
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	80-89	Female	mg/dL	32.7	212.3	98.1470644391408	42.97878543911166	64.2	93.7	125.02000000000001	419
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	80-89	Male	mg/dL	32.2	212.1	103.79777777777778	43.63476419383601	70.5	96.8	132.6	333
Creatinine	Metabolite	16737	CHEBI	Creatinine, Urine-Random	90+	Female	mg/dL	34.2	189	94.508	41.22753531498273	59.9	85.3	129.15	55
