entity_name	entity_type	entity_id	entity_id_source	lab	agegroup	sex	units	min	max	mean	sd	q1	q2_median	q3	n
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	20-29	Female	U/L	13.5	52	21.630996049661398	7.679709808039473	16	19	24	7088
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	20-29	Male	U/L	14	52.4	25.62700353164901	8.907112080305762	19	24	30	3681
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	30-39	Female	U/L	13.2	52	22.64933266932271	8.389530445181958	17	20	26	10040
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	30-39	Male	U/L	13.9	52	25.756158557332427	8.883896067308125	19	24	30	5878
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	40-49	Female	U/L	13.6	52	22.699711311346338	8.230710204340369	17	20	26	11431
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	40-49	Male	U/L	13.6	52.8	25.409428872991672	8.670012855156955	19	23	30	8527
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	50-59	Female	U/L	13.5	52	23.322749484200237	8.024190458332795	17	21	27	18418
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	50-59	Male	U/L	13.8	52	25.240756357886415	8.66466434762677	19	23	30	15178
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	60-69	Female	U/L	13.4	52.5	23.053957097215882	7.703814370173535	17	21	26	21910
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	60-69	Male	U/L	13.2	52.3	24.296543802327957	8.015192331648114	18	22	28	19588
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	70-79	Female	U/L	14	52	22.87808141629355	7.357794522859249	17	21	26	19431
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	70-79	Male	U/L	13.9	52	23.789578469520105	7.734983884677609	18	22	27	15420
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	80-89	Female	U/L	13.7	52.6	23.130719240598758	7.476610070500099	18	21	26	13695
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	80-89	Male	U/L	13.2	52	23.33291485962109	7.392731334509274	18	22	27	8762
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	90+	Female	U/L	13.4	52	23.65942234848485	7.672832560952497	18	22	27	6336
Aspartate aminotransferase	Protein	Q2TU84	UniProt	AST/SGOT	90+	Male	U/L	14	52	23.37043721403152	7.966311470559504	18	21	27	3934
