entity_name	entity_type	entity_id	entity_id_source	lab	agegroup	sex	units	min	max	mean	sd	q1	q2_median	q3	n
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	20-29	Female	%	5.21	8.9	5.868243243243243	0.8096642975856988	5.4	5.5	5.9	444
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	20-29	Male	%	5.3	8.8	5.96613545816733	0.8617706223686725	5.4	5.6	6.1	251
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	30-39	Female	%	5.26	8.9	5.975117157974301	0.8211770899393358	5.4	5.6	6.2	1323
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	30-39	Male	%	5.22	8.9	6.107480998914224	0.8827349766723533	5.5	5.8	6.5	921
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	40-49	Female	%	5.22	8.9	6.137985426489498	0.8917027795901837	5.5	5.8	6.5	2333
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	40-49	Male	%	5.24	8.9	6.268901003052769	0.9384229907958971	5.6	5.9	6.8	2293
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	50-59	Female	%	5.29	8.9	6.310513202725724	0.9058483821327085	5.6	6	6.8	4696
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	50-59	Male	%	5.3	8.98	6.421717861205916	0.9538572639823346	5.7	6.1	7	4395
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	60-69	Female	%	5.3	8.9	6.373759504862953	0.8922390162606152	5.7	6.1	6.9	5655
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	60-69	Male	%	5.3	8.9	6.4570184445712115	0.931649033635254	5.7	6.2	7	5259
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	70-79	Female	%	5.3	8.9	6.3545990338164255	0.8413631001220295	5.7	6.1	6.8	4140
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	70-79	Male	%	5.23	8.9	6.45858904109589	0.8749875986376621	5.8	6.2	7	3650
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	80-89	Female	%	5.3	8.9	6.375245671502106	0.8489746779238083	5.7	6.1	6.9	2137
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	80-89	Male	%	5.3	8.9	6.457866986219293	0.8706025527407403	5.8	6.2	7	1669
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	90+	Female	%	5.3	8.9	6.31725	0.8476207791185997	5.7	6.1	6.7250000000000005	440
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C	90+	Male	%	5.3	8.9	6.40549356223176	0.8156110683586056	5.8	6.2	6.8	233
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	20-29	Female	%	5.2	9.8	6.038775510204082	1.257447203419593	5.3	5.5	5.9	49
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	20-29	Male	%	5.2	8.2	5.660869565217391	0.6243098956846689	5.3	5.5	5.85	23
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	30-39	Female	%	5.2	9.7	6.250279329608938	1.267811274265458	5.4	5.7	6.5	179
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	30-39	Male	%	5.3	9.5	6.609433962264151	1.3232047563721654	5.5	6.1	7.3	53
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	40-49	Female	%	5.2	9.8	6.428404669260701	1.209052195152514	5.5	5.9	7.1	257
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	40-49	Male	%	5.2	9.8	6.4503937007874015	1.216413803843999	5.6	6	6.9	127
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	50-59	Female	%	5.2	9.8	6.526739130434783	1.1713362280958388	5.6	6.1	7.2250000000000005	460
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	50-59	Male	%	5.2	9.7	6.7562043795620434	1.2118681315771933	5.7	6.4	7.8	274
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	60-69	Female	%	5.2	9.8	6.654887218045113	1.1656551654144576	5.8	6.3	7.4	532
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	60-69	Male	%	5.2	9.8	6.6744318181818185	1.1946818126658802	5.7	6.3	7.5	352
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	70-79	Female	%	5.2	9.8	6.730749354005168	1.1689906219981108	5.7	6.5	7.6	387
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	70-79	Male	%	5.2	9.8	6.650200803212852	1.0516547827572156	5.8	6.5	7.2	249
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	80-89	Female	%	5.2	9.4	6.3422413793103445	0.9892597902137401	5.6	6	6.925000000000001	116
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	80-89	Male	%	5.2	9.6	6.485454545454545	0.9766568414026422	5.7	6.2	7.2	55
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	90+	Female	%	5.5	9.5	7.027272727272727	1.494717972790124	5.85	6.5	8	11
Glycosylated hemoglobin	Protein	3B75	PDB	Hgb A1C HPLC	90+	Male	%	5.4	7.3	6.1	0.8286535263104033	5.699999999999999	5.85	6.250000000000001	4
